id,Baseline Brand,Baseline Product
1,Tesla,9
2,Tesla,9
3,Tesla,11
4,Tesla,9
5,Tesla,10
6,VW,13
7,Toyota,12
8,Tesla,9
9,Tesla,9
10,Nissan,8
11,Nissan,7
12,Toyota,12
13,Tesla,11
14,Tesla,9
15,Tesla,9
16,Chevrolet,2
17,Tesla,10
18,Tesla,11
19,Tesla,11
20,Tesla,9
21,Nissan,8
22,Nissan,7
23,Tesla,9
24,Audi,1
25,Tesla,9
26,Audi,1
27,Tesla,9
28,Kia,4
29,Toyota,12
30,Tesla,9
31,Tesla,9
32,Tesla,9
33,Kia,4
34,Tesla,9
35,Nissan,7
36,Tesla,9
37,Tesla,9
38,Tesla,11
39,Tesla,9
40,Tesla,9
41,Audi,1
42,Tesla,10
43,Chevrolet,2
44,Tesla,9
45,Chevrolet,2
46,Kia,5
47,Kia,5
48,Kia,5
49,Kia,5
50,Tesla,9
51,Chevrolet,2
52,Kia,4
53,Toyota,12
54,Kia,5
55,Tesla,9
56,Kia,5
57,Kia,5
58,Toyota,12
59,Kia,5
60,Tesla,11
61,Toyota,12
62,Tesla,9
63,Kia,4
64,Chevrolet,2
65,Kia,5
66,Toyota,12
67,Toyota,12
68,Kia,4
69,Tesla,11
70,Tesla,9
71,Tesla,9
72,Tesla,10
73,Tesla,11
74,Tesla,9
75,Toyota,12
76,Toyota,12
77,Tesla,9
78,Tesla,9
79,Toyota,12
80,Toyota,12
81,Tesla,9
82,Tesla,9
83,Tesla,11
84,Kia,5
85,Audi,1
86,Chevrolet,2
87,Kia,4
88,Tesla,9
89,Tesla,10
90,Tesla,9
91,Kia,4
92,Tesla,10
93,Tesla,9
94,Tesla,10
95,Tesla,9
96,Chevrolet,2
97,Tesla,9
98,Tesla,9
99,Tesla,11
100,Tesla,9
101,Tesla,11
102,Kia,5
103,Kia,6
104,Tesla,10
105,Tesla,11
106,Tesla,10
107,Kia,5
108,VW,13
109,Toyota,12
110,Tesla,9
111,Tesla,9
112,Chevrolet,2
113,Tesla,9
114,Tesla,9
115,Tesla,11
116,Kia,5
117,Chevrolet,2
118,Tesla,9
119,Toyota,12
120,Toyota,12
121,Tesla,9
122,Toyota,12
123,Tesla,11
124,Nissan,8
125,Toyota,12
126,Tesla,10
127,Tesla,9
128,Tesla,11
129,Toyota,12
130,Kia,4
131,Tesla,9
132,Tesla,11
133,Tesla,9
134,Chevrolet,2
135,Tesla,10
136,Tesla,9
137,Toyota,12
138,Tesla,9
139,Tesla,11
140,Tesla,9
141,Tesla,9
142,Tesla,9
143,Audi,1
144,Tesla,10
145,Toyota,12
146,Tesla,9
147,Tesla,9
148,Tesla,9
149,Tesla,9
150,Tesla,9
151,Audi,1
152,Tesla,9
153,Kia,5
154,Tesla,9
155,Kia,5
156,Nissan,7
157,Chevrolet,2
158,Tesla,9
159,Tesla,9
160,Audi,1
161,Tesla,11
162,Tesla,9
163,Toyota,12
164,Tesla,9
165,Tesla,9
166,Tesla,9
167,Tesla,9
168,Tesla,11
169,Tesla,11
170,Toyota,12
171,Audi,1
172,Tesla,9
173,Toyota,12
174,Toyota,12
175,Tesla,9
176,Tesla,10
177,Toyota,12
178,Audi,1
179,Tesla,9
180,Tesla,9
181,Tesla,9
182,Toyota,12
183,Tesla,11
184,Chevrolet,2
185,Toyota,12
186,Chevrolet,2
187,Tesla,9
188,Tesla,11
189,Tesla,9
190,Tesla,9
191,Kia,5
192,Tesla,9
193,Kia,5
194,Tesla,11
195,Tesla,9
196,Tesla,11
197,Tesla,9
198,Tesla,9
199,Tesla,9
200,Tesla,9
201,Tesla,11
202,Tesla,9
203,Tesla,11
204,Tesla,9
205,Tesla,10
206,Kia,5
207,Tesla,9
208,Toyota,12
209,Tesla,11
210,Tesla,11
211,Tesla,9
212,Tesla,11
213,Tesla,9
214,Nissan,8
215,Tesla,9
216,Kia,5
217,Tesla,9
218,Tesla,11
219,Tesla,11
220,Toyota,12
221,Toyota,12
222,Tesla,10
223,Nissan,8
224,Toyota,12
225,Tesla,9
226,Kia,5
227,Tesla,11
228,Tesla,11
229,Tesla,11
230,Tesla,11
231,Nissan,8
232,Kia,4
233,Tesla,9
234,Toyota,12
235,Tesla,9
236,Toyota,12
237,Tesla,9
238,Tesla,10
239,Kia,4
240,Tesla,9
241,Tesla,9
242,Tesla,10
243,Tesla,9
244,Tesla,10
245,Chevrolet,2
246,Toyota,12
247,Kia,4
248,Tesla,9
249,Tesla,11
250,Tesla,9
251,Tesla,9
252,Tesla,9
253,Tesla,9
254,Tesla,11
255,Audi,1
256,Nissan,8
257,Tesla,11
258,Kia,4
259,Tesla,11
260,Tesla,9
261,Tesla,9
262,Tesla,11
263,Tesla,9
264,Chevrolet,2
265,Nissan,7
266,Kia,5
267,Tesla,11
268,Tesla,11
269,Tesla,11
270,Tesla,10
271,Tesla,9
272,Audi,1
273,Tesla,9
274,Tesla,9
275,Tesla,11
276,Nissan,8
277,Tesla,10
278,Toyota,12
279,Tesla,11
280,Toyota,12
281,Tesla,11
282,Toyota,12
283,Tesla,9
284,Chevrolet,2
285,Tesla,11
286,Audi,1
287,Kia,5
288,Tesla,11
289,Chevrolet,2
290,Tesla,11
291,Tesla,9
292,Chevrolet,2
293,Tesla,11
294,Tesla,10
295,Tesla,9
296,Kia,5
297,Nissan,7
298,Chevrolet,2
299,Tesla,9
300,Kia,5
301,Kia,4
302,Tesla,11
303,Tesla,9
304,Tesla,9
305,Tesla,9
306,Tesla,9
307,Tesla,10
308,Tesla,11
309,Tesla,9
310,Tesla,9
311,Tesla,9
312,Tesla,9
313,Kia,5
314,Tesla,9
315,Toyota,12
316,Tesla,9
317,Toyota,12
318,Tesla,9
319,Audi,1
320,Tesla,11
321,Tesla,10
322,Tesla,9
323,Tesla,11
324,Tesla,9
325,Tesla,11
326,Tesla,11
327,Tesla,9
328,Kia,4
329,Tesla,9
330,Tesla,11
331,Tesla,9
332,Nissan,8
333,Tesla,9
334,Tesla,11
335,Toyota,12
336,Tesla,11
337,Chevrolet,2
338,Tesla,9
339,Kia,5
340,Audi,1
341,Tesla,9
342,Tesla,11
343,Tesla,9
344,Tesla,11
345,Audi,1
346,Kia,4
347,Tesla,9
348,Tesla,11
349,Tesla,9
350,Tesla,11
351,Tesla,10
352,Chevrolet,2
353,Tesla,9
354,Tesla,11
355,Tesla,9
356,Tesla,9
357,Kia,4
358,Tesla,11
359,Tesla,9
360,Tesla,9
361,Tesla,10
362,Kia,4
363,Kia,4
364,Tesla,9
365,Tesla,9
366,Chevrolet,2
367,Toyota,12
368,Tesla,11
369,Tesla,11
370,Kia,4
371,Tesla,11
372,Nissan,8
373,Jaguar,3
374,Tesla,11
375,Tesla,11
376,Tesla,11
377,Toyota,12
378,Tesla,11
379,Tesla,11
380,Tesla,11
381,Audi,1
382,Tesla,10
383,Toyota,12
384,Tesla,9
385,Tesla,11
386,Tesla,9
387,Kia,4
388,Tesla,11
389,Tesla,10
390,Toyota,12
391,Tesla,10
392,Tesla,11
393,Tesla,11
394,Tesla,11
395,Tesla,11
396,Kia,4
397,Tesla,9
398,Tesla,9
399,Tesla,9
400,Tesla,11
401,Kia,5
402,Tesla,11
403,Tesla,9
404,Tesla,9
405,Toyota,12
406,Tesla,9
407,Kia,5
408,Tesla,11
409,Tesla,9
410,Toyota,12
411,Tesla,9
412,Kia,5
413,VW,13
414,Tesla,9
415,Tesla,9
416,Kia,5
417,Toyota,12
418,Tesla,9
419,Kia,5
420,Tesla,9
421,Kia,5
422,Tesla,11
423,Tesla,9
424,Tesla,9
425,Kia,4
426,Audi,1
427,Tesla,9
428,Tesla,11
429,Kia,5
430,Tesla,10
431,Tesla,9
432,Tesla,11
433,Tesla,9
434,Kia,5
435,Tesla,9
436,Audi,1
437,Tesla,11
438,Tesla,11
439,Tesla,10
440,Nissan,7
441,Tesla,9
442,Audi,1
443,Tesla,9
444,Tesla,9
445,Tesla,11
446,Tesla,9
447,Toyota,12
448,Tesla,10
449,Tesla,11
450,Tesla,10
451,Tesla,9
452,Tesla,9
453,Toyota,12
454,Tesla,10
455,Nissan,8
456,Tesla,9
457,Tesla,11
458,Tesla,9
459,Kia,5
460,Tesla,9
461,Tesla,9
462,Tesla,10
463,Tesla,11
464,Tesla,9
465,Tesla,9
466,Chevrolet,2
467,Tesla,10
468,Tesla,9
469,Tesla,9
470,Tesla,9
471,Tesla,11
472,Chevrolet,2
473,Tesla,9
474,Toyota,12
475,Toyota,12
476,Chevrolet,2
477,Tesla,9
478,Tesla,10
479,Tesla,9
480,Kia,5
481,Tesla,9
482,Kia,5
483,Tesla,9
484,Kia,5
485,Tesla,9
486,Kia,5
487,Tesla,11
488,Chevrolet,2
489,Nissan,7
490,Kia,5
491,Toyota,12
492,Tesla,11
493,Toyota,12
494,Tesla,11
495,Chevrolet,2
496,Tesla,9
497,Nissan,8
498,Toyota,12
499,Kia,5
500,Toyota,12
501,Tesla,10
502,Tesla,9
503,Tesla,9
504,Tesla,10
505,Tesla,9
506,Toyota,12
507,Tesla,11
508,Tesla,9
509,Kia,5
510,Toyota,12
511,Tesla,9
512,Tesla,10
513,Tesla,9
514,Nissan,8
515,Tesla,11
516,Toyota,12
517,Toyota,12
518,Nissan,8
519,Audi,1
520,Tesla,9
521,Kia,5
522,Tesla,9
523,Tesla,9
524,Tesla,11
525,Tesla,11
526,Tesla,9
527,Kia,5
528,Toyota,12
529,Tesla,9
530,Kia,5
531,Tesla,9
532,Tesla,11
533,Tesla,9
534,Tesla,9
535,Kia,5
536,Kia,5
537,Kia,5
538,Tesla,9
539,Tesla,11
540,Tesla,10
541,Tesla,11
542,Kia,5
543,Tesla,9
544,Tesla,11
545,Toyota,12
546,Tesla,11
547,Tesla,11
548,Tesla,9
549,Kia,5
550,Tesla,9
551,Chevrolet,2
552,Kia,5
553,Tesla,10
554,Tesla,9
555,Tesla,11
556,Tesla,9
557,Chevrolet,2
558,Tesla,9
559,Tesla,11
560,Toyota,12
